date,channel,spend,campaign
2024-01-14,Facebook,2000,Event Promotion
2024-01-14,LinkedIn,1400,Webinar Ads
2024-01-15,Google Ads,2700,Shopping Ads
2024-01-15,Facebook,2100,App Install
2024-01-15,LinkedIn,1500,Lead Gen Forms
2024-01-16,Google Ads,2800,Competitor Keywords
2024-01-16,Facebook,2200,Lookalike Campaign
2024-01-16,LinkedIn,1600,Industry Targeting
2024-01-17,Google Ads,2400,Q1 Launch
2024-01-17,Facebook,1700,Interest Targeting
2024-01-17,LinkedIn,1100,B2B Targeting
2024-01-18,Google Ads,2950,Brand Search
2024-01-18,Facebook,2350,Video Campaign
2024-01-18,LinkedIn,1750,Job Title Targeting
2024-01-19,Google Ads,2550,Generic Keywords
2024-01-19,Facebook,1850,Retargeting
2024-01-19,LinkedIn,1250,Company Targeting
2024-01-20,Google Ads,2650,Shopping Ads
2024-01-20,Facebook,1950,Cold Outreach
2024-01-20,LinkedIn,1350,Content Promotion
2024-01-21,Google Ads,2750,Competitor Keywords
2024-01-21,Facebook,2050,Event Promotion
2024-01-21,LinkedIn,1450,Webinar Ads
2024-01-22,Google Ads,2450,Q1 Launch
2024-01-22,Facebook,1750,App Install
2024-01-22,LinkedIn,1150,Lead Gen Forms
2024-01-23,Google Ads,2850,Brand Search
2024-01-23,Facebook,2250,Lookalike Campaign
2024-01-23,LinkedIn,1650,Industry Targeting
2024-01-24,Google Ads,2500,Generic Keywords
2024-01-24,Facebook,1800,Interest Targeting
2024-01-24,LinkedIn,1200,B2B Targeting
2024-01-25,Google Ads,2600,Shopping Ads
2024-01-25,Facebook,2000,Video Campaign
2024-01-25,LinkedIn,1400,Job Title Targeting
2024-01-26,Google Ads,2700,Competitor Keywords
2024-01-26,Facebook,2100,Retargeting
2024-01-26,LinkedIn,1500,Company Targeting
2024-01-27,Google Ads,2800,Q1 Launch
2024-01-27,Facebook,2200,Cold Outreach
2024-01-27,LinkedIn,1600,Content Promotion
2024-01-28,Google Ads,2400,Brand Search
2024-01-28,Facebook,1700,Event Promotion
2024-01-28,LinkedIn,1100,Webinar Ads
2024-01-29,Google Ads,2900,Generic Keywords
2024-01-29,Facebook,2300,App Install
2024-01-29,LinkedIn,1700,Lead Gen Forms
2024-01-30,Google Ads,2550,Shopping Ads
2024-01-30,Facebook,1850,Lookalike Campaign
2024-01-30,LinkedIn,1250,Industry Targeting
2024-01-31,Google Ads,2650,Competitor Keywords
2024-01-31,Facebook,1950,Interest Targeting
2024-01-31,LinkedIn,1350,B2B Targeting
2024-02-01,Google Ads,2750,Q1 Continuation
2024-02-01,Facebook,2050,Video Campaign
2024-02-01,LinkedIn,1450,Job Title Targeting
2024-02-02,Google Ads,2450,Brand Search
2024-02-02,Facebook,1750,Retargeting
2024-02-02,LinkedIn,1150,Company Targeting
2024-02-03,Google Ads,2850,Generic Keywords
2024-02-03,Facebook,2250,Cold Outreach
2024-02-03,LinkedIn,1650,Content Promotion
2024-02-04,Google Ads,2500,Shopping Ads
2024-02-04,Facebook,1800,Event Promotion
2024-02-04,LinkedIn,1200,Webinar Ads
2024-02-05,Google Ads,2600,Competitor Keywords
2024-02-05,Facebook,2000,App Install
2024-02-05,LinkedIn,1400,Lead Gen Forms
2024-02-06,Google Ads,2700,Q1 Continuation
2024-02-06,Facebook,2100,Lookalike Campaign
2024-02-06,LinkedIn,1500,Industry Targeting
2024-02-07,Google Ads,2800,Brand Search
2024-02-07,Facebook,2200,Interest Targeting
2024-02-07,LinkedIn,1600,B2B Targeting
2024-02-08,Google Ads,2400,Generic Keywords
2024-02-08,Facebook,1700,Video Campaign
2024-02-08,LinkedIn,1100,Job Title Targeting
2024-02-09,Google Ads,2950,Shopping Ads
2024-02-09,Facebook,2350,Retargeting
2024-02-09,LinkedIn,1750,Company Targeting
2024-02-10,Google Ads,2550,Competitor Keywords
2024-02-10,Facebook,1850,Cold Outreach
2024-02-10,LinkedIn,1250,Content Promotion
2024-02-11,Google Ads,2650,Q1 Continuation
2024-02-11,Facebook,1950,Event Promotion
2024-02-11,LinkedIn,1350,Webinar Ads
2024-02-12,Google Ads,2750,Brand Search
2024-02-12,Facebook,2050,App Install
2024-02-12,LinkedIn,1450,Lead Gen Forms
2024-02-13,Google Ads,2450,Generic Keywords
2024-02-13,Facebook,1750,Lookalike Campaign
2024-02-13,LinkedIn,1150,Industry Targeting
2024-02-14,Google Ads,3000,Valentines Day
2024-02-14,Facebook,2600,Valentines Day
2024-02-14,LinkedIn,1800,Valentines Day
2024-02-15,Google Ads,2600,Shopping Ads
2024-02-15,Facebook,2000,Interest Targeting
2024-02-15,LinkedIn,1400,B2B Targeting
2024-02-16,Google Ads,2700,Competitor Keywords
2024-02-16,Facebook,2100,Video Campaign
2024-02-16,LinkedIn,1500,Job Title Targeting
2024-02-17,Google Ads,2800,Q1 Continuation
2024-02-17,Facebook,2200,Retargeting
2024-02-17,LinkedIn,1600,Company Targeting
2024-02-18,Google Ads,2400,Brand Search
2024-02-18,Facebook,1700,Cold Outreach
2024-02-18,LinkedIn,1100,Content Promotion
2024-02-19,Google Ads,2900,Generic Keywords
2024-02-19,Facebook,2300,Event Promotion
2024-02-19,LinkedIn,1700,Webinar Ads
2024-02-20,Google Ads,2550,Shopping Ads
2024-02-20,Facebook,1850,App Install
2024-02-20,LinkedIn,1250,Lead Gen Forms
2024-02-21,Google Ads,2650,Competitor Keywords
2024-02-21,Facebook,1950,Lookalike Campaign
2024-02-21,LinkedIn,1350,Industry Targeting
2024-02-22,Google Ads,2750,Q1 Continuation
2024-02-22,Facebook,2050,Interest Targeting
2024-02-22,LinkedIn,1450,B2B Targeting
2024-02-23,Google Ads,2450,Brand Search
2024-02-23,Facebook,1750,Video Campaign
2024-02-23,LinkedIn,1150,Job Title Targeting
2024-02-24,Google Ads,2850,Generic Keywords
2024-02-24,Facebook,2250,Retargeting
2024-02-24,LinkedIn,1650,Company Targeting
2024-02-25,Google Ads,2500,Shopping Ads
2024-02-25,Facebook,1800,Cold Outreach
2024-02-25,LinkedIn,1200,Content Promotion
2024-02-26,Google Ads,2600,Competitor Keywords
2024-02-26,Facebook,2000,Event Promotion
2024-02-26,LinkedIn,1400,Webinar Ads
2024-02-27,Google Ads,2700,Q1 Continuation
2024-02-27,Facebook,2100,App Install
2024-02-27,LinkedIn,1500,Lead Gen Forms
2024-02-28,Google Ads,2800,Brand Search
2024-02-28,Facebook,2200,Lookalike Campaign
2024-02-28,LinkedIn,1600,Industry Targeting
2024-02-29,Google Ads,2400,Generic Keywords
2024-02-29,Facebook,1700,Interest Targeting
2024-02-29,LinkedIn,1100,B2B Targeting
2024-03-01,Google Ads,2900,Q1 Final Push
2024-03-01,Facebook,2300,Video Campaign
2024-03-01,LinkedIn,1700,Job Title Targeting
2024-03-02,Google Ads,2550,Shopping Ads
2024-03-02,Facebook,1850,Retargeting
2024-03-02,LinkedIn,1250,Company Targeting
2024-03-03,Google Ads,2650,Competitor Keywords
2024-03-03,Facebook,1950,Cold Outreach
2024-03-03,LinkedIn,1350,Content Promotion
2024-03-04,Google Ads,2750,Brand Search
2024-03-04,Facebook,2050,Event Promotion
2024-03-04,LinkedIn,1450,Webinar Ads
2024-03-05,Google Ads,2450,Q1 Final Push
2024-03-05,Facebook,1750,App Install
2024-03-05,LinkedIn,1150,Lead Gen Forms
2024-03-06,Google Ads,2850,Generic Keywords
2024-03-06,Facebook,2250,Lookalike Campaign
2024-03-06,LinkedIn,1650,Industry Targeting
2024-03-07,Google Ads,2500,Shopping Ads
2024-03-07,Facebook,1800,Interest Targeting
2024-03-07,LinkedIn,1200,B2B Targeting
2024-03-08,Google Ads,2600,Competitor Keywords
2024-03-08,Facebook,2000,Video Campaign
2024-03-08,LinkedIn,1400,Job Title Targeting
2024-03-09,Google Ads,2700,Q1 Final Push
2024-03-09,Facebook,2100,Retargeting
2024-03-09,LinkedIn,1500,Company Targeting
2024-03-10,Google Ads,2800,Brand Search
2024-03-10,Facebook,2200,Cold Outreach
2024-03-10,LinkedIn,1600,Content Promotion
2024-03-11,Google Ads,2400,Generic Keywords
2024-03-11,Facebook,1700,Event Promotion
2024-03-11,LinkedIn,1100,Webinar Ads
2024-03-12,Google Ads,2950,Shopping Ads
2024-03-12,Facebook,2350,App Install
2024-03-12,LinkedIn,1750,Lead Gen Forms
2024-03-13,Google Ads,2550,Competitor Keywords
2024-03-13,Facebook,1850,Lookalike Campaign
2024-03-13,LinkedIn,1250,Industry Targeting
2024-03-14,Google Ads,2650,Q1 Final Push
2024-03-14,Facebook,1950,Interest Targeting
2024-03-14,LinkedIn,1350,B2B Targeting
2024-03-15,Google Ads,2750,Brand Search
2024-03-15,Facebook,2050,Video Campaign
2024-03-15,LinkedIn,1450,Job Title Targeting
2024-03-16,Google Ads,2450,Generic Keywords
2024-03-16,Facebook,1750,Retargeting
2024-03-16,LinkedIn,1150,Company Targeting
2024-03-17,Google Ads,2850,Shopping Ads
2024-03-17,Facebook,2250,Cold Outreach
2024-03-17,LinkedIn,1650,Content Promotion
2024-03-18,Google Ads,2500,Competitor Keywords
2024-03-18,Facebook,1800,Event Promotion
2024-03-18,LinkedIn,1200,Webinar Ads
2024-03-19,Google Ads,2600,Q1 Final Push
2024-03-19,Facebook,2000,App Install
2024-03-19,LinkedIn,1400,Lead Gen Forms
2024-03-20,Google Ads,2700,Brand Search
2024-03-20,Facebook,2100,Lookalike Campaign
2024-03-20,LinkedIn,1500,Industry Targeting
2024-03-21,Google Ads,2800,Generic Keywords
2024-03-21,Facebook,2200,Interest Targeting
2024-03-21,LinkedIn,1600,B2B Targeting
2024-03-22,Google Ads,2400,Shopping Ads
2024-03-22,Facebook,1700,Video Campaign
2024-03-22,LinkedIn,1100,Job Title Targeting
2024-03-23,Google Ads,2900,Q1 Final Push
2024-03-23,Facebook,2300,Retargeting
2024-03-23,LinkedIn,1700,Company Targeting
2024-03-24,Google Ads,2550,Competitor Keywords
2024-03-24,Facebook,1850,Cold Outreach
2024-03-24,LinkedIn,1250,Content Promotion
2024-03-25,Google Ads,2650,Brand Search
2024-03-25,Facebook,1950,Event Promotion
2024-03-25,LinkedIn,1350,Webinar Ads
2024-03-26,Google Ads,2750,Generic Keywords
2024-03-26,Facebook,2050,App Install
2024-03-26,LinkedIn,1450,Lead Gen Forms
2024-03-27,Google Ads,2450,Shopping Ads
2024-03-27,Facebook,1750,Lookalike Campaign
2024-03-27,LinkedIn,1150,Industry Targeting
2024-03-28,Google Ads,2850,Q1 Final Push
2024-03-28,Facebook,2250,Interest Targeting
2024-03-28,LinkedIn,1650,B2B Targeting
2024-03-29,Google Ads,2500,Competitor Keywords
2024-03-29,Facebook,1800,Video Campaign
2024-03-29,LinkedIn,1200,Job Title Targeting
2024-03-30,Google Ads,2600,Brand Search
2024-03-30,Facebook,2000,Retargeting
2024-03-30,LinkedIn,1400,Company Targeting
2024-03-31,Google Ads,2700,Q1 Final Push
2024-03-31,Facebook,2100,Cold Outreach
2024-03-31,LinkedIn,1500,Content Promotion
2024-04-01,Google Ads,2800,Q2 Launch
2024-04-01,Facebook,2200,Q2 Launch
2024-04-01,LinkedIn,1600,Q2 Launch
2024-04-02,Google Ads,2400,Brand Search
2024-04-02,Facebook,1700,Event Promotion
2024-04-02,LinkedIn,1100,Webinar Ads
2024-04-03,Google Ads,2950,Generic Keywords
2024-04-03,Facebook,2350,App Install
2024-04-03,LinkedIn,1750,Lead Gen Forms
2024-04-04,Google Ads,2550,Shopping Ads
2024-04-04,Facebook,1850,Lookalike Campaign
2024-04-04,LinkedIn,1250,Industry Targeting
2024-04-05,Google Ads,2650,Competitor Keywords
2024-04-05,Facebook,1950,Interest Targeting
2024-04-05,LinkedIn,1350,B2B Targeting
2024-04-06,Google Ads,2750,Q2 Launch
2024-04-06,Facebook,2050,Video Campaign
2024-04-06,LinkedIn,1450,Job Title Targeting
2024-04-07,Google Ads,2450,Brand Search
2024-04-07,Facebook,1750,Retargeting
2024-04-07,LinkedIn,1150,Company Targeting
2024-04-08,Google Ads,2850,Generic Keywords
2024-04-08,Facebook,2250,Cold Outreach
2024-04-08,LinkedIn,1650,Content Promotion
2024-04-09,Google Ads,2500,Shopping Ads
2024-04-09,Facebook,1800,Event Promotion
2024-04-09,LinkedIn,1200,Webinar Ads
2024-04-10,Google Ads,2600,Competitor Keywords
2024-04-10,Facebook,2000,App Install
2024-04-10,LinkedIn,1400,Lead Gen Forms
2024-04-11,Google Ads,2700,Q2 Launch
2024-04-11,Facebook,2100,Lookalike Campaign
2024-04-11,LinkedIn,1500,Industry Targeting
2024-04-12,Google Ads,2800,Brand Search
2024-04-12,Facebook,2200,Interest Targeting
2024-04-12,LinkedIn,1600,B2B Targeting
2024-04-13,Google Ads,2400,Generic Keywords
2024-04-13,Facebook,1700,Video Campaign
2024-04-13,LinkedIn,1100,Job Title Targeting
2024-04-14,Google Ads,2900,Shopping Ads
2024-04-14,Facebook,2300,Retargeting
2024-04-14,LinkedIn,1700,Company Targeting
2024-04-15,Google Ads,2550,Competitor Keywords
2024-04-15,Facebook,1850,Cold Outreach
2024-04-15,LinkedIn,1250,Content Promotion
2024-04-16,Google Ads,2650,Q2 Launch
2024-04-16,Facebook,1950,Event Promotion
2024-04-16,LinkedIn,1350,Webinar Ads
2024-04-17,Google Ads,2750,Brand Search
2024-04-17,Facebook,2050,App Install
2024-04-17,LinkedIn,1450,Lead Gen Forms
2024-04-18,Google Ads,2450,Generic Keywords
2024-04-18,Facebook,1750,Lookalike Campaign
2024-04-18,LinkedIn,1150,Industry Targeting
2024-04-19,Google Ads,2850,Shopping Ads
2024-04-19,Facebook,2250,Interest Targeting
2024-04-19,LinkedIn,1650,B2B Targeting
2024-04-20,Google Ads,2500,Competitor Keywords
2024-04-20,Facebook,1800,Video Campaign
2024-04-20,LinkedIn,1200,Job Title Targeting
2024-04-21,Google Ads,2600,Q2 Launch
2024-04-21,Facebook,2000,Retargeting
2024-04-21,LinkedIn,1400,Company Targeting
2024-04-22,Google Ads,2700,Brand Search
2024-04-22,Facebook,2100,Cold Outreach
2024-04-22,LinkedIn,1500,Content Promotion
2024-04-23,Google Ads,2800,Generic Keywords
2024-04-23,Facebook,2200,Event Promotion
2024-04-23,LinkedIn,1600,Webinar Ads
2024-04-24,Google Ads,2400,Shopping Ads
2024-04-24,Facebook,1700,App Install
2024-04-24,LinkedIn,1100,Lead Gen Forms
2024-04-25,Google Ads,2950,Competitor Keywords
2024-04-25,Facebook,2350,Lookalike Campaign
2024-04-25,LinkedIn,1750,Industry Targeting
2024-04-26,Google Ads,2550,Q2 Launch
2024-04-26,Facebook,1850,Interest Targeting
2024-04-26,LinkedIn,1250,B2B Targeting
2024-04-27,Google Ads,2650,Brand Search
2024-04-27,Facebook,1950,Video Campaign
2024-04-27,LinkedIn,1350,Job Title Targeting
2024-04-28,Google Ads,2750,Generic Keywords
2024-04-28,Facebook,2050,Retargeting
2024-04-28,LinkedIn,1450,Company Targeting
2024-04-29,Google Ads,2450,Shopping Ads
2024-04-29,Facebook,1750,Cold Outreach
2024-04-29,LinkedIn,1150,Content Promotion
2024-04-30,Google Ads,2850,Competitor Keywords
2024-04-30,Facebook,2250,Event Promotion
2024-04-30,LinkedIn,1650,Webinar Ads
2024-05-01,Google Ads,2600,Spring Campaign
2024-05-01,Facebook,2000,Spring Campaign
2024-05-01,LinkedIn,1400,Spring Campaign
2024-05-02,Google Ads,2700,Brand Search
2024-05-02,Facebook,2100,App Install
2024-05-02,LinkedIn,1500,Lead Gen Forms
2024-05-03,Google Ads,2800,Generic Keywords
2024-05-03,Facebook,2200,Lookalike Campaign
2024-05-03,LinkedIn,1600,Industry Targeting
2024-05-04,Google Ads,2400,Shopping Ads
2024-05-04,Facebook,1700,Interest Targeting
2024-05-04,LinkedIn,1100,B2B Targeting
2024-05-05,Google Ads,2900,Spring Campaign
2024-05-05,Facebook,2300,Video Campaign
2024-05-05,LinkedIn,1700,Job Title Targeting
2024-05-06,Google Ads,2550,Competitor Keywords
2024-05-06,Facebook,1850,Retargeting
2024-05-06,LinkedIn,1250,Company Targeting
2024-05-07,Google Ads,2650,Brand Search
2024-05-07,Facebook,1950,Cold Outreach
2024-05-07,LinkedIn,1350,Content Promotion
2024-05-08,Google Ads,2750,Generic Keywords
2024-05-08,Facebook,2050,Event Promotion
2024-05-08,LinkedIn,1450,Webinar Ads
2024-05-09,Google Ads,2450,Shopping Ads
2024-05-09,Facebook,1750,App Install
2024-05-09,LinkedIn,1150,Lead Gen Forms
2024-05-10,Google Ads,2850,Spring Campaign
2024-05-10,Facebook,2250,Lookalike Campaign
2024-05-10,LinkedIn,1650,Industry Targeting
2024-05-11,Google Ads,2500,Competitor Keywords
2024-05-11,Facebook,1800,Interest Targeting
2024-05-11,LinkedIn,1200,B2B Targeting
2024-05-12,Google Ads,2600,Brand Search
2024-05-12,Facebook,2000,Video Campaign
2024-05-12,LinkedIn,1400,Job Title Targeting
2024-05-13,Google Ads,2700,Generic Keywords
2024-05-13,Facebook,2100,Retargeting
2024-05-13,LinkedIn,1500,Company Targeting
2024-05-14,Google Ads,2800,Shopping Ads
2024-05-14,Facebook,2200,Cold Outreach
2024-05-14,LinkedIn,1600,Content Promotion
2024-05-15,Google Ads,2400,Spring Campaign
2024-05-15,Facebook,1700,Event Promotion
2024-05-15,LinkedIn,1100,Webinar Ads
2024-05-16,Google Ads,2950,Competitor Keywords
2024-05-16,Facebook,2350,App Install
2024-05-16,LinkedIn,1750,Lead Gen Forms
2024-05-17,Google Ads,2550,Brand Search
2024-05-17,Facebook,1850,Lookalike Campaign
2024-05-17,LinkedIn,1250,Industry Targeting
2024-05-18,Google Ads,2650,Generic Keywords
2024-05-18,Facebook,1950,Interest Targeting
2024-05-18,LinkedIn,1350,B2B Targeting
2024-05-19,Google Ads,2750,Shopping Ads
2024-05-19,Facebook,2050,Video Campaign
2024-05-19,LinkedIn,1450,Job Title Targeting
2024-05-20,Google Ads,2450,Spring Campaign
2024-05-20,Facebook,1750,Retargeting
2024-05-20,LinkedIn,1150,Company Targeting
2024-05-21,Google Ads,2850,Competitor Keywords
2024-05-21,Facebook,2250,Cold Outreach
2024-05-21,LinkedIn,1650,Content Promotion
2024-05-22,Google Ads,2500,Brand Search
2024-05-22,Facebook,1800,Event Promotion
2024-05-22,LinkedIn,1200,Webinar Ads
2024-05-23,Google Ads,2600,Generic Keywords
2024-05-23,Facebook,2000,App Install
2024-05-23,LinkedIn,1400,Lead Gen Forms
2024-05-24,Google Ads,2700,Shopping Ads
2024-05-24,Facebook,2100,Lookalike Campaign
2024-05-24,LinkedIn,1500,Industry Targeting
2024-05-25,Google Ads,2800,Spring Campaign
2024-05-25,Facebook,2200,Interest Targeting
2024-05-25,LinkedIn,1600,B2B Targeting
2024-05-26,Google Ads,2400,Competitor Keywords
2024-05-26,Facebook,1700,Video Campaign
2024-05-26,LinkedIn,1100,Job Title Targeting
2024-05-27,Google Ads,2900,Brand Search
2024-05-27,Facebook,2300,Retargeting
2024-05-27,LinkedIn,1700,Company Targeting
2024-05-28,Google Ads,2550,Generic Keywords
2024-05-28,Facebook,1850,Cold Outreach
2024-05-28,LinkedIn,1250,Content Promotion
2024-05-29,Google Ads,2650,Shopping Ads
2024-05-29,Facebook,1950,Event Promotion
2024-05-29,LinkedIn,1350,Webinar Ads
2024-05-30,Google Ads,2750,Spring Campaign
2024-05-30,Facebook,2050,App Install
2024-05-30,LinkedIn,1450,Lead Gen Forms
2024-05-31,Google Ads,2450,Competitor Keywords
2024-05-31,Facebook,1750,Lookalike Campaign
2024-05-31,LinkedIn,1150,Industry Targeting
2024-06-01,Google Ads,2850,Summer Launch
2024-06-01,Facebook,2250,Summer Launch
2024-06-01,LinkedIn,1650,Summer Launch
2024-06-02,Google Ads,2500,Brand Search
2024-06-02,Facebook,1800,Interest Targeting
2024-06-02,LinkedIn,1200,B2B Targeting
2024-06-03,Google Ads,2600,Generic Keywords
2024-06-03,Facebook,2000,Video Campaign
2024-06-03,LinkedIn,1400,Job Title Targeting
2024-06-04,Google Ads,2700,Shopping Ads
2024-06-04,Facebook,2100,Retargeting
2024-06-04,LinkedIn,1500,Company Targeting
2024-06-05,Google Ads,2800,Summer Launch
2024-06-05,Facebook,2200,Cold Outreach
2024-06-05,LinkedIn,1600,Content Promotion
2024-06-06,Google Ads,2400,Competitor Keywords
2024-06-06,Facebook,1700,Event Promotion
2024-06-06,LinkedIn,1100,Webinar Ads
2024-06-07,Google Ads,2950,Brand Search
2024-06-07,Facebook,2350,App Install
2024-06-07,LinkedIn,1750,Lead Gen Forms
2024-06-08,Google Ads,2550,Generic Keywords
2024-06-08,Facebook,1850,Lookalike Campaign
2024-06-08,LinkedIn,1250,Industry Targeting
2024-06-09,Google Ads,2650,Shopping Ads
2024-06-09,Facebook,1950,Interest Targeting
2024-06-09,LinkedIn,1350,B2B Targeting
2024-06-10,Google Ads,2750,Summer Launch
2024-06-10,Facebook,2050,Video Campaign
2024-06-10,LinkedIn,1450,Job Title Targeting
2024-06-11,Google Ads,2450,Competitor Keywords
2024-06-11,Facebook,1750,Retargeting
2024-06-11,LinkedIn,1150,Company Targeting
2024-06-12,Google Ads,2850,Brand Search
2024-06-12,Facebook,2250,Cold Outreach
2024-06-12,LinkedIn,1650,Content Promotion
2024-06-13,Google Ads,2500,Generic Keywords
2024-06-13,Facebook,1800,Event Promotion
2024-06-13,LinkedIn,1200,Webinar Ads
2024-06-14,Google Ads,2600,Shopping Ads
2024-06-14,Facebook,2000,App Install
2024-06-14,LinkedIn,1400,Lead Gen Forms
2024-06-15,Google Ads,2700,Summer Launch
2024-06-15,Facebook,2100,Lookalike Campaign
2024-06-15,LinkedIn,1500,Industry Targeting
2024-06-16,Google Ads,2800,Competitor Keywords
2024-06-16,Facebook,2200,Interest Targeting
2024-06-16,LinkedIn,1600,B2B Targeting
2024-06-17,Google Ads,2400,Brand Search
2024-06-17,Facebook,1700,Video Campaign
2024-06-17,LinkedIn,1100,Job Title Targeting
2024-06-18,Google Ads,2900,Generic Keywords
2024-06-18,Facebook,2300,Retargeting
2024-06-18,LinkedIn,1700,Company Targeting
2024-06-19,Google Ads,2550,Shopping Ads
2024-06-19,Facebook,1850,Cold Outreach
2024-06-19,LinkedIn,1250,Content Promotion
2024-06-20,Google Ads,2650,Summer Launch
2024-06-20,Facebook,1950,Event Promotion
2024-06-20,LinkedIn,1350,Webinar Ads
2024-06-21,Google Ads,2750,Competitor Keywords
2024-06-21,Facebook,2050,App Install
2024-06-21,LinkedIn,1450,Lead Gen Forms
2024-06-22,Google Ads,2450,Brand Search
2024-06-22,Facebook,1750,Lookalike Campaign
2024-06-22,LinkedIn,1150,Industry Targeting
2024-06-23,Google Ads,2850,Generic Keywords
2024-06-23,Facebook,2250,Interest Targeting
2024-06-23,LinkedIn,1650,B2B Targeting
2024-06-24,Google Ads,2500,Shopping Ads
2024-06-24,Facebook,1800,Video Campaign
2024-06-24,LinkedIn,1200,Job Title Targeting
2024-06-25,Google Ads,2600,Summer Launch
2024-06-25,Facebook,2000,Retargeting
2024-06-25,LinkedIn,1400,Company Targeting
2024-06-26,Google Ads,2700,Competitor Keywords
2024-06-26,Facebook,2100,Cold Outreach
2024-06-26,LinkedIn,1500,Content Promotion
2024-06-27,Google Ads,2800,Brand Search
2024-06-27,Facebook,2200,Event Promotion
2024-06-27,LinkedIn,1600,Webinar Ads
2024-06-28,Google Ads,2400,Generic Keywords
2024-06-28,Facebook,1700,App Install
2024-06-28,LinkedIn,1100,Lead Gen Forms
2024-06-29,Google Ads,2950,Shopping Ads
2024-06-29,Facebook,2350,Lookalike Campaign
2024-06-29,LinkedIn,1750,Industry Targeting
2024-06-30,Google Ads,2550,Summer Launch
2024-06-30,Facebook,1850,Interest Targeting
2024-06-30,LinkedIn,1250,B2B Targeting
2024-07-01,Google Ads,2650,Q3 Launch
2024-07-01,Facebook,1950,Q3 Launch
2024-07-01,LinkedIn,1350,Q3 Launch
2024-07-02,Google Ads,2750,Brand Search
2024-07-02,Facebook,2050,Video Campaign
2024-07-02,LinkedIn,1450,Job Title Targeting
2024-07-03,Google Ads,2450,Generic Keywords
2024-07-03,Facebook,1750,Retargeting
2024-07-03,LinkedIn,1150,Company Targeting
2024-07-04,Google Ads,1800,July 4th Reduced
2024-07-04,Facebook,1200,July 4th Reduced
2024-07-04,LinkedIn,800,July 4th Reduced
2024-07-05,Google Ads,2600,Q3 Launch
2024-07-05,Facebook,2000,Cold Outreach
2024-07-05,LinkedIn,1400,Content Promotion
2024-07-06,Google Ads,2700,Shopping Ads
2024-07-06,Facebook,2100,Event Promotion
2024-07-06,LinkedIn,1500,Webinar Ads
2024-07-07,Google Ads,2800,Competitor Keywords
2024-07-07,Facebook,2200,App Install
2024-07-07,LinkedIn,1600,Lead Gen Forms
2024-07-08,Google Ads,2400,Brand Search
2024-07-08,Facebook,1700,Lookalike Campaign
2024-07-08,LinkedIn,1100,Industry Targeting
2024-07-09,Google Ads,2900,Generic Keywords
2024-07-09,Facebook,2300,Interest Targeting
2024-07-09,LinkedIn,1700,B2B Targeting
2024-07-10,Google Ads,2550,Shopping Ads
2024-07-10,Facebook,1850,Video Campaign
2024-07-10,LinkedIn,1250,Job Title Targeting
2024-07-11,Google Ads,2650,Q3 Launch
2024-07-11,Facebook,1950,Retargeting
2024-07-11,LinkedIn,1350,Company Targeting
2024-07-12,Google Ads,2750,Competitor Keywords
2024-07-12,Facebook,2050,Cold Outreach
2024-07-12,LinkedIn,1450,Content Promotion
2024-07-13,Google Ads,2450,Brand Search
2024-07-13,Facebook,1750,Event Promotion
2024-07-13,LinkedIn,1150,Webinar Ads
2024-07-14,Google Ads,2850,Generic Keywords
2024-07-14,Facebook,2250,App Install
2024-07-14,LinkedIn,1650,Lead Gen Forms
2024-07-15,Google Ads,2500,Shopping Ads
2024-07-15,Facebook,1800,Lookalike Campaign
2024-07-15,LinkedIn,1200,Industry Targeting
2024-07-16,Google Ads,2600,Q3 Launch
2024-07-16,Facebook,2000,Interest Targeting
2024-07-16,LinkedIn,1400,B2B Targeting
2024-07-17,Google Ads,2700,Competitor Keywords
2024-07-17,Facebook,2100,Video Campaign
2024-07-17,LinkedIn,1500,Job Title Targeting
2024-07-18,Google Ads,2800,Brand Search
2024-07-18,Facebook,2200,Retargeting
2024-07-18,LinkedIn,1600,Company Targeting
2024-07-19,Google Ads,2400,Generic Keywords
2024-07-19,Facebook,1700,Cold Outreach
2024-07-19,LinkedIn,1100,Content Promotion
2024-07-20,Google Ads,2950,Shopping Ads
2024-07-20,Facebook,2350,Event Promotion
2024-07-20,LinkedIn,1750,Webinar Ads
2024-07-21,Google Ads,2550,Q3 Launch
2024-07-21,Facebook,1850,App Install
2024-07-21,LinkedIn,1250,Lead Gen Forms
2024-07-22,Google Ads,2650,Competitor Keywords
2024-07-22,Facebook,1950,Lookalike Campaign
2024-07-22,LinkedIn,1350,Industry Targeting
2024-07-23,Google Ads,2750,Brand Search
2024-07-23,Facebook,2050,Interest Targeting
2024-07-23,LinkedIn,1450,B2B Targeting
2024-07-24,Google Ads,2450,Generic Keywords
2024-07-24,Facebook,1750,Video Campaign
2024-07-24,LinkedIn,1150,Job Title Targeting
2024-07-25,Google Ads,2850,Shopping Ads
2024-07-25,Facebook,2250,Retargeting
2024-07-25,LinkedIn,1650,Company Targeting
2024-07-26,Google Ads,2500,Q3 Launch
2024-07-26,Facebook,1800,Cold Outreach
2024-07-26,LinkedIn,1200,Content Promotion
2024-07-27,Google Ads,2600,Competitor Keywords
2024-07-27,Facebook,2000,Event Promotion
2024-07-27,LinkedIn,1400,Webinar Ads
2024-07-28,Google Ads,2700,Brand Search
2024-07-28,Facebook,2100,App Install
2024-07-28,LinkedIn,1500,Lead Gen Forms
